SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
AL.Exp.P3D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P3D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P5D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P5D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P8D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P8D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
mck35Pre.1Bubo.2.453083	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_01_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck35Pre.1Bubo.2.453083	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck36Pre.1Bubo.3.452451	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_02_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck36Pre.1Bubo.3.452451	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck37Pre.1Bubo.4.452537	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_03_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck37Pre.1Bubo.4.452537	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck38Pre.1Bubo.5.453032	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_04_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck38Pre.1Bubo.5.453032	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck39Pre.1Bubo.6.451522	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_05_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck39Pre.1Bubo.6.451522	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck40Pre.1Bubo.7.453401	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_06_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck40Pre.1Bubo.7.453401	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
mck41Pre.1Bubo.8.453509	Anaxyrus boreas	Anaxyrus	Bufonidae	Anura	Subadult	Captive	CaptiveSterile	Anaxyrus boreas.Captive	unknown	Unknown	NARSF	Colorado	USA	Temperate	37.469237	_105.876357	Captive	Terrestrial	Pond	10_07_2008	October.2012	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x100	Colorado	Jordan.Kueneman	Keep	mck41Pre.1Bubo.8.453509	Born in Captivity	year old	Sterile	Sterile	Sterile	NA
